W/L (nm);Wavenumber ();Transmission 
1265;7905.13834;-0.64
1265;7905.13834;-0.94
1265;7905.13834;-1.11
1265;7905.13834;-1.14
1265;7905.13834;-1.03
1265;7905.13834;-0.81
1265;7905.13834;-0.54
1265;7905.13834;-0.29
1265;7905.13834;-0.11
1265;7905.13834;-0.07
1265;7905.13834;-0.17
1265;7905.13834;-0.37
1265;7905.13834;-0.61
1265;7905.13834;-0.8
1265;7905.13834;-0.88
1265;7905.13834;-0.78
1265;7905.13834;-0.54
1265;7905.13834;-0.18
1265;7905.13834;0.22
1266;7898.894155;0.58
1266;7898.894155;0.87
1266;7898.894155;1.07
1266;7898.894155;1.23
1266;7898.894155;1.36
1266;7898.894155;1.52
1266;7898.894155;1.7
1266;7898.894155;1.87
1266;7898.894155;1.98
1266;7898.894155;1.98
1266;7898.894155;1.83
1266;7898.894155;1.56
1266;7898.894155;1.21
1266;7898.894155;0.87
1266;7898.894155;0.62
1266;7898.894155;0.5
1266;7898.894155;0.54
1266;7898.894155;0.68
1266;7898.894155;0.88
1266;7898.894155;1.07
1266;7898.894155;1.18
1266;7898.894155;1.2
1266;7898.894155;1.11
1266;7898.894155;0.95
1266;7898.894155;0.73
1267;7892.659826;0.46
1267;7892.659826;0.18
1267;7892.659826;-0.12
1267;7892.659826;-0.41
1267;7892.659826;-0.68
1267;7892.659826;-0.9
1267;7892.659826;-1.04
1267;7892.659826;-1.08
1267;7892.659826;-1.02
1267;7892.659826;-0.85
1267;7892.659826;-0.61
1267;7892.659826;-0.34
1267;7892.659826;-0.07
1267;7892.659826;0.17
1267;7892.659826;0.36
1267;7892.659826;0.49
1267;7892.659826;0.57
1267;7892.659826;0.59
1267;7892.659826;0.57
1267;7892.659826;0.53
1267;7892.659826;0.47
1267;7892.659826;0.41
1267;7892.659826;0.36
1267;7892.659826;0.32
1267;7892.659826;0.27
1267;7892.659826;0.21
1268;7886.435331;0.11
1268;7886.435331;-0.04
1268;7886.435331;-0.25
1268;7886.435331;-0.5
1268;7886.435331;-0.78
1268;7886.435331;-1.04
1268;7886.435331;-1.26
1268;7886.435331;-1.41
1268;7886.435331;-1.47
1268;7886.435331;-1.44
1268;7886.435331;-1.34
1268;7886.435331;-1.18
1268;7886.435331;-0.98
1268;7886.435331;-0.79
1268;7886.435331;-0.67
1268;7886.435331;-0.65
1268;7886.435331;-0.79
1268;7886.435331;-1.08
1268;7886.435331;-1.52
1268;7886.435331;-2.01
1268;7886.435331;-2.46
1268;7886.435331;-2.76
1268;7886.435331;-2.82
1268;7886.435331;-2.62
1268;7886.435331;-2.18
1268;7886.435331;-1.59
1269;7880.220646;-0.95
1269;7880.220646;-0.35
1269;7880.220646;0.12
1269;7880.220646;0.43
1269;7880.220646;0.58
1269;7880.220646;0.61
1269;7880.220646;0.54
1269;7880.220646;0.39
1269;7880.220646;0.19
1269;7880.220646;-0.05
1269;7880.220646;-0.33
1269;7880.220646;-0.61
1269;7880.220646;-0.86
1269;7880.220646;-1.02
1269;7880.220646;-1.06
1269;7880.220646;-0.95
1269;7880.220646;-0.69
1269;7880.220646;-0.31
1269;7880.220646;0.16
1269;7880.220646;0.66
1269;7880.220646;1.13
1269;7880.220646;1.54
1269;7880.220646;1.83
1269;7880.220646;2
1269;7880.220646;2.02
1269;7880.220646;1.92
1270;7874.015748;1.71
1270;7874.015748;1.45
1270;7874.015748;1.19
1270;7874.015748;0.98
1270;7874.015748;0.84
1270;7874.015748;0.77
1270;7874.015748;0.76
1270;7874.015748;0.78
1270;7874.015748;0.79
1270;7874.015748;0.79
1270;7874.015748;0.8
1270;7874.015748;0.83
1270;7874.015748;0.91
1270;7874.015748;1.04
1270;7874.015748;1.21
1270;7874.015748;1.38
1270;7874.015748;1.5
1270;7874.015748;1.54
1270;7874.015748;1.5
1270;7874.015748;1.4
1270;7874.015748;1.28
1270;7874.015748;1.18
1270;7874.015748;1.13
1270;7874.015748;1.12
1270;7874.015748;1.13
1270;7874.015748;1.12
1271;7867.820614;1.08
1271;7867.820614;1
1271;7867.820614;0.9
1271;7867.820614;0.83
1271;7867.820614;0.83
1271;7867.820614;0.89
1271;7867.820614;1.01
1271;7867.820614;1.13
1271;7867.820614;1.21
1271;7867.820614;1.2
1271;7867.820614;1.08
1271;7867.820614;0.84
1271;7867.820614;0.53
1271;7867.820614;0.17
1271;7867.820614;-0.18
1271;7867.820614;-0.48
1271;7867.820614;-0.72
1271;7867.820614;-0.86
1271;7867.820614;-0.9
1271;7867.820614;-0.83
1271;7867.820614;-0.66
1271;7867.820614;-0.4
1271;7867.820614;-0.08
1271;7867.820614;0.27
1271;7867.820614;0.6
1272;7861.63522;0.89
1272;7861.63522;1.1
1272;7861.63522;1.25
1272;7861.63522;1.32
1272;7861.63522;1.35
1272;7861.63522;1.35
1272;7861.63522;1.33
1272;7861.63522;1.29
1272;7861.63522;1.22
1272;7861.63522;1.12
1272;7861.63522;0.98
1272;7861.63522;0.8
1272;7861.63522;0.58
1272;7861.63522;0.33
1272;7861.63522;0.05
1272;7861.63522;-0.22
1272;7861.63522;-0.49
1272;7861.63522;-0.72
1272;7861.63522;-0.9
1272;7861.63522;-1
1272;7861.63522;-1.03
1272;7861.63522;-0.98
1272;7861.63522;-0.87
1272;7861.63522;-0.71
1272;7861.63522;-0.52
1272;7861.63522;-0.32
1273;7855.459544;-0.11
1273;7855.459544;0.11
1273;7855.459544;0.35
1273;7855.459544;0.61
1273;7855.459544;0.89
1273;7855.459544;1.17
1273;7855.459544;1.42
1273;7855.459544;1.59
1273;7855.459544;1.66
1273;7855.459544;1.59
1273;7855.459544;1.41
1273;7855.459544;1.12
1273;7855.459544;0.8
1273;7855.459544;0.49
1273;7855.459544;0.26
1273;7855.459544;0.16
1273;7855.459544;0.2
1273;7855.459544;0.36
1273;7855.459544;0.6
1273;7855.459544;0.83
1273;7855.459544;1
1273;7855.459544;1.06
1273;7855.459544;0.98
1273;7855.459544;0.79
1273;7855.459544;0.55
1274;7849.293564;0.32
1274;7849.293564;0.16
1274;7849.293564;0.13
1274;7849.293564;0.21
1274;7849.293564;0.39
1274;7849.293564;0.6
1274;7849.293564;0.78
1274;7849.293564;0.88
1274;7849.293564;0.86
1274;7849.293564;0.73
1274;7849.293564;0.52
1274;7849.293564;0.26
1274;7849.293564;0
1274;7849.293564;-0.2
1274;7849.293564;-0.32
1274;7849.293564;-0.33
1274;7849.293564;-0.23
1274;7849.293564;-0.02
1274;7849.293564;0.27
1274;7849.293564;0.59
1274;7849.293564;0.91
1274;7849.293564;1.17
1274;7849.293564;1.34
1274;7849.293564;1.42
1274;7849.293564;1.42
1274;7849.293564;1.36
1275;7843.137255;1.28
1275;7843.137255;1.21
1275;7843.137255;1.16
1275;7843.137255;1.1
1275;7843.137255;1.01
1275;7843.137255;0.88
1275;7843.137255;0.69
1275;7843.137255;0.47
1275;7843.137255;0.27
1275;7843.137255;0.13
1275;7843.137255;0.1
1275;7843.137255;0.19
1275;7843.137255;0.37
1275;7843.137255;0.61
1275;7843.137255;0.82
1275;7843.137255;0.94
1275;7843.137255;0.91
1275;7843.137255;0.71
1275;7843.137255;0.37
1275;7843.137255;-0.07
1275;7843.137255;-0.53
1275;7843.137255;-0.94
1275;7843.137255;-1.24
1275;7843.137255;-1.41
1275;7843.137255;-1.44
1275;7843.137255;-1.38
1276;7836.990596;-1.27
1276;7836.990596;-1.16
1276;7836.990596;-1.09
1276;7836.990596;-1.07
1276;7836.990596;-1.1
1276;7836.990596;-1.16
1276;7836.990596;-1.23
1276;7836.990596;-1.28
1276;7836.990596;-1.3
1276;7836.990596;-1.29
1276;7836.990596;-1.23
1276;7836.990596;-1.13
1276;7836.990596;-0.99
1276;7836.990596;-0.83
1276;7836.990596;-0.66
1276;7836.990596;-0.49
1276;7836.990596;-0.36
1276;7836.990596;-0.28
1276;7836.990596;-0.27
1276;7836.990596;-0.3
1276;7836.990596;-0.35
1276;7836.990596;-0.39
1276;7836.990596;-0.37
1276;7836.990596;-0.28
1276;7836.990596;-0.13
1277;7830.853563;0.05
1277;7830.853563;0.24
1277;7830.853563;0.4
1277;7830.853563;0.54
1277;7830.853563;0.67
1277;7830.853563;0.82
1277;7830.853563;1.01
